ensemble_id,uniprot_id
ENSG00000171564,P02675
ENSG00000171560,P02671
ENSG00000171557,P02679
ENSG00000121207,O95237
ENSG00000185149,P49146
ENSG00000109738,P48167
ENSG00000120251,P42262
ENSG00000171503,Q16134
ENSG00000164128,P25929
ENSG00000164129,Q15761
ENSG00000052802,Q15800
ENSG00000109472,P16870
ENSG00000109576,Q8N5Z0
ENSG00000164120,P15428
ENSG00000145451,O75311
ENSG00000164305,P42574
ENSG00000151726,P33121
ENSG00000151729,P12235
ENSG00000164344,P03952
ENSG00000088926,P03951
ENSG00000168412,P48039
ENSG00000073578,P31040
ENSG00000113504,Q9Y666
ENSG00000164362,O14746
ENSG00000142319,Q01959
ENSG00000145494,O75380
ENSG00000145545,P18405
ENSG00000078295,Q08462
ENSG00000124275,Q9UBK8
ENSG00000113389,P17342
ENSG00000113407,P26639
ENSG00000113492,Q9BYV1
ENSG00000113494,P16471
ENSG00000145626,Q6NUS8
ENSG00000079215,P43003
ENSG00000168621,P39905
ENSG00000171522,P35408
ENSG00000132356,Q13131
ENSG00000145592,P61927
ENSG00000083720,P55809
ENSG00000112964,P10912
ENSG00000112972,Q01581
ENSG00000112992,Q13423
ENSG00000134363,P19883
ENSG00000164258,O43181
ENSG00000164294,Q8TED1
ENSG00000095015,Q13233
ENSG00000113448,Q08499
ENSG00000178394,P08908
ENSG00000145675,P27986
ENSG00000134058,P50613
ENSG00000131844,Q9HCC0
ENSG00000164326,Q16568
ENSG00000049860,P07686
ENSG00000113161,P04035
ENSG00000122008,Q9UBT6
ENSG00000181104,P25116
ENSG00000113231,O95263
ENSG00000132840,Q9H2M3
ENSG00000145692,Q93088
ENSG00000228716,P00374
ENSG00000131730,P17540
ENSG00000152422,Q13426
ENSG00000038427,P13611
ENSG00000145681,P10915
ENSG00000127184,P15954
ENSG00000173221,P35754
ENSG00000175426,P29120
ENSG00000153113,P20810
ENSG00000153922,O14646
ENSG00000145730,P19021
ENSG00000112893,Q16706
ENSG00000152495,Q16566
ENSG00000080709,Q9H2S1
ENSG00000164219,P53609
ENSG00000129596,Q16878
ENSG00000133835,P51659
ENSG00000168938,P45877
ENSG00000151292,Q9Y6M4
ENSG00000164904,P49419
ENSG00000064651,P55011
ENSG00000169567,P49773
